name,FP,TP,FN,Total
parest_r_base.icc_x64_O0-m64.newgt,0,61862,0,61862
parest_r_base.icc_x86_O0-m32.newgt,1,61828,1,61829
blender_r_base.icc_x86_O0-m32.newgt,2618,50831,0,50831
blender_r_base.icc_x64_O0-m64.newgt,0,50775,0,50775
blender_r_base.icc_x86_O1-m32.newgt,1759,44903,166,45069
blender_r_base.icc_x64_O1-m64.newgt,0,41148,17,41165
blender_r_base.icc_x86_O3-m32.newgt,218,38107,46,38153
blender_r_base.icc_x86_O2-m32.newgt,217,38108,42,38150
blender_r_base.icc_x64_O3-m64.newgt,9,37743,1,37744
blender_r_base.icc_x64_O2-m64.newgt,9,37740,1,37741
Xalan_base.x32_O0_icc.newgt,1,32493,83,32576
cpuxalan_r_base.icc_x86_O0-m32.newgt,1,32452,83,32535
Xalan_base.x64_O0_icc.newgt,0,32517,0,32517
cpuxalan_r_base.icc_x64_O0-m64.newgt,0,32473,0,32473
parest_r_base.icc_x86_O1-m32.newgt,10,26876,268,27144
cpugcc_r_base.icc_x86_O0-m32.newgt,3,26837,5,26842
cpugcc_r_base.icc_x64_O0-m64.newgt,0,26836,0,26836
sgcc_base.icc_x64_O0-m64.newgt,0,26836,0,26836
parest_r_base.icc_x64_O1-m64.newgt,0,25864,207,26071
parest_r_base.icc_x86_O2-m32.newgt,11,22364,106,22470
parest_r_base.icc_x86_O3-m32.newgt,12,22361,107,22468
parest_r_base.icc_x64_O2-m64.newgt,8,22337,26,22363
parest_r_base.icc_x64_O3-m64.newgt,8,22337,26,22363
cpuxalan_r_base.icc_x86_O1-m32.newgt,2,20885,737,21622
dealII_base.x64_O0_icc.newgt,0,21370,0,21370
dealII_base.x32_O0_icc.newgt,1,21357,0,21357
Xalan_base.x32_O1_icc.newgt,2,20145,768,20913
cpugcc_r_base.icc_x86_O1-m32.newgt,11,17722,23,17745
cpuxalan_r_base.icc_x64_O1-m64.newgt,2,16288,986,17274
Xalan_base.x64_O1_icc.newgt,0,16276,927,17203
cpuxalan_r_base.icc_x86_O2-m32.newgt,19,16607,257,16864
cpuxalan_r_base.icc_x86_O3-m32.newgt,19,16609,255,16864
Xalan_base.x32_O3_icc.newgt,12,16383,293,16676
Xalan_base.x32_O2_icc.newgt,12,16382,293,16675
cpuxalan_r_base.icc_x64_O2-m64.newgt,8,16061,1,16062
cpuxalan_r_base.icc_x64_O3-m64.newgt,8,16061,1,16062
Xalan_base.x64_O2_icc.newgt,103,15949,7,15956
Xalan_base.x64_O3_icc.newgt,103,15949,7,15956
sgcc_base.icc_x64_O1-m64.newgt,0,15499,0,15499
cpugcc_r_base.icc_x64_O1-m64.newgt,0,14928,0,14928
cpugcc_r_base.icc_x86_O2-m32.newgt,130,13424,32,13456
cpugcc_r_base.icc_x86_O3-m32.newgt,133,13425,31,13456
sgcc_base.icc_x64_O2-m64.newgt,8,13319,1,13320
sgcc_base.icc_x64_O3-m64.newgt,8,13319,1,13320
omnetpp_r_base.icc_x86_O0-m32.newgt,1,13025,16,13041
omnetpp_r_base.icc_x64_O0-m64.newgt,0,13018,0,13018
cpugcc_r_base.icc_x64_O2-m64.newgt,8,12578,1,12579
cpugcc_r_base.icc_x64_O3-m64.newgt,8,12578,1,12579
dealII_base.x32_O1_icc.newgt,1,10359,161,10520
wrf_r_base.icc_x86_O1-m32.newgt,42,10310,33,10343
dealII_base.x64_O1_icc.newgt,0,10039,98,10137
wrf_r_base.icc_x86_O3-m32.newgt,80,9358,28,9386
wrf_r_base.icc_x86_O2-m32.newgt,86,9351,28,9379
omnetpp_r_base.icc_x86_O1-m32.newgt,1,9118,102,9220
dealII_base.x64_O2_icc.newgt,103,9110,13,9123
dealII_base.x64_O3_icc.newgt,103,9110,13,9123
dealII_base.x32_O2_icc.newgt,8,9048,41,9089
dealII_base.x32_O3_icc.newgt,9,9045,44,9089
wrf_r_base.icc_x86_O0-m32.newgt,42,8714,33,8747
wrf_r_base.icc_x64_O0-m64.newgt,12,8628,1,8629
wrf_r_base.icc_x64_O3-m64.newgt,9,8609,1,8610
wrf_r_base.icc_x64_O2-m64.newgt,9,8597,1,8598
diffwrf_521_base.icc_x86_O1-m32.newgt,36,8481,29,8510
wrf_r_base.icc_x64_O1-m64.newgt,12,8502,1,8503
diffwrf_521_base.icc_x86_O3-m32.newgt,69,7828,27,7855
diffwrf_521_base.icc_x86_O2-m32.newgt,69,7822,27,7849
omnetpp_r_base.icc_x64_O1-m64.newgt,0,7413,309,7722
omnetpp_r_base.icc_x86_O3-m32.newgt,43,7620,62,7682
omnetpp_r_base.icc_x86_O2-m32.newgt,43,7620,61,7681
diffwrf_521_base.icc_x86_O0-m32.newgt,34,7408,33,7441
diffwrf_521_base.icc_x64_O0-m64.newgt,12,7329,1,7330
diffwrf_521_base.icc_x64_O3-m64.newgt,9,7284,1,7285
omnetpp_r_base.icc_x64_O2-m64.newgt,8,7278,2,7280
omnetpp_r_base.icc_x64_O3-m64.newgt,8,7278,2,7280
diffwrf_521_base.icc_x64_O2-m64.newgt,9,7272,1,7273
diffwrf_521_base.icc_x64_O1-m64.newgt,12,7212,1,7213
tonto_base.x32_O1_icc.newgt,27,7084,41,7125
cam4_r_base.icc_x86_O1-m32.newgt,28,6544,24,6568
cam4_r_base.icc_x86_O2-m32.newgt,79,5796,27,5823
cam4_r_base.icc_x86_O3-m32.newgt,79,5794,27,5821
gcc_base.x32_O1_icc.newgt,6,5577,158,5735
cam4_r_base.icc_x86_O0-m32.newgt,28,5623,27,5650
gcc_base.x32_O0_icc.newgt,3,5626,0,5626
gcc_base.x64_O0_icc.newgt,0,5620,0,5620
cam4_r_base.icc_x64_O0-m64.newgt,12,5569,2,5571
tonto_base.x32_O2_icc.newgt,27,5508,30,5538
tonto_base.x32_O3_icc.newgt,27,5506,30,5536
cam4_r_base.icc_x64_O2-m64.newgt,9,5425,1,5426
cam4_r_base.icc_x64_O3-m64.newgt,9,5424,1,5425
cam4_r_base.icc_x64_O1-m64.newgt,12,5397,1,5398
gamess_base.x32_O1_icc.newgt,35,5355,30,5385
tonto_base.x64_O2_icc.newgt,104,4916,1,4917
tonto_base.x64_O3_icc.newgt,104,4916,1,4917
tonto_base.x32_O0_icc.newgt,25,4885,30,4915
gcc_base.x64_O1_icc.newgt,0,4864,0,4864
tonto_base.x64_O0_icc.newgt,106,4819,1,4820
tonto_base.x64_O1_icc.newgt,106,4819,1,4820
gcc_base.x32_O2_icc.newgt,56,4787,5,4792
gcc_base.x32_O3_icc.newgt,56,4787,5,4792
speed_pop2_base.icc_x64_O0-m64.newgt,199,4569,1,4570
gamess_base.x32_O3_icc.newgt,40,4421,32,4453
gamess_base.x32_O2_icc.newgt,40,4416,32,4448
gcc_base.x64_O2_icc.newgt,103,4435,1,4436
gcc_base.x64_O3_icc.newgt,103,4435,1,4436
speed_pop2_base.icc_x64_O2-m64.newgt,207,4414,1,4415
speed_pop2_base.icc_x64_O3-m64.newgt,207,4414,1,4415
speed_pop2_base.icc_x64_O1-m64.newgt,199,4407,1,4408
wrf_base.x32_O1_icc.newgt,25,4061,23,4084
wrf_base.x32_O2_icc.newgt,57,3869,28,3897
wrf_base.x32_O3_icc.newgt,57,3864,28,3892
wrf_base.x32_O0_icc.newgt,25,3811,23,3834
cactusBSSN_r_base.icc_x86_O0-m32.newgt,1,3831,0,3831
wrf_base.x64_O0_icc.newgt,107,3775,1,3776
cactusBSSN_r_base.icc_x64_O0-m64.newgt,0,3761,0,3761
wrf_base.x64_O2_icc.newgt,104,3707,1,3708
wrf_base.x64_O3_icc.newgt,104,3702,1,3703
cactusBSSN_r_base.icc_x86_O1-m32.newgt,8,3647,5,3652
gamess_base.x64_O2_icc.newgt,104,3636,13,3649
gamess_base.x64_O3_icc.newgt,104,3636,13,3649
wrf_base.x64_O1_icc.newgt,107,3629,1,3630
gamess_base.x32_O0_icc.newgt,46,3450,34,3484
gamess_base.x64_O1_icc.newgt,111,3414,10,3424
gamess_base.x64_O0_icc.newgt,106,3414,9,3423
perlbench_r_base.icc_x86_O1-m32.newgt,4,3381,8,3389
imagick_r_base.icc_x86_O0-m32.newgt,1,3209,5,3214
cactusBSSN_r_base.icc_x64_O1-m64.newgt,0,3174,5,3179
imagick_r_base.icc_x64_O0-m64.newgt,0,3177,0,3177
perlbench_r_base.icc_x86_O0-m32.newgt,166,3159,5,3164
perlbench_r_base.icc_x64_O0-m64.newgt,0,3145,0,3145
cactusBSSN_r_base.icc_x86_O2-m32.newgt,9,3140,2,3142
cactusBSSN_r_base.icc_x86_O3-m32.newgt,9,3139,3,3142
cactusBSSN_r_base.icc_x64_O2-m64.newgt,8,3129,1,3130
cactusBSSN_r_base.icc_x64_O3-m64.newgt,8,3129,1,3130
omnetpp_base.x32_O0_icc.newgt,1,3103,5,3108
omnetpp_base.x64_O0_icc.newgt,0,3086,0,3086
imagick_r_base.icc_x86_O1-m32.newgt,1,3030,7,3037
omnetpp_base.x32_O1_icc.newgt,1,2870,27,2897
perlbench_r_base.icc_x64_O1-m64.newgt,0,2888,0,2888
perlbench_r_base.icc_x86_O2-m32.newgt,20,2836,10,2846
perlbench_r_base.icc_x86_O3-m32.newgt,20,2836,10,2846
gobmk_base.x32_O0_icc.newgt,1,2727,5,2732
gobmk_base.x64_O0_icc.newgt,0,2730,0,2730
gobmk_base.x32_O1_icc.newgt,1,2711,5,2716
perlbench_r_base.icc_x64_O2-m64.newgt,8,2687,1,2688
perlbench_r_base.icc_x64_O3-m64.newgt,8,2687,1,2688
gobmk_base.x64_O1_icc.newgt,0,2599,0,2599
imagick_r_base.icc_x64_O1-m64.newgt,0,2567,0,2567
gobmk_base.x64_O2_icc.newgt,72,2560,1,2561
gobmk_base.x64_O3_icc.newgt,72,2560,1,2561
gobmk_base.x32_O3_icc.newgt,23,2555,2,2557
gobmk_base.x32_O2_icc.newgt,23,2554,2,2556
imagick_r_base.icc_x86_O2-m32.newgt,18,2478,9,2487
imagick_r_base.icc_x86_O3-m32.newgt,16,2478,9,2487
omnetpp_base.x32_O2_icc.newgt,7,2473,12,2485
omnetpp_base.x32_O3_icc.newgt,7,2472,13,2485
imagick_r_base.icc_x64_O2-m64.newgt,8,2441,1,2442
imagick_r_base.icc_x64_O3-m64.newgt,8,2441,1,2442
icc_binutils_32_O0_as-new.newgt,13,2438,0,2438
icc_binutils_64_O0_as-new.newgt,0,2430,0,2430
icc_binutils_32_O1_as-new.newgt,0,2388,18,2406
omnetpp_base.x64_O2_icc.newgt,103,2395,1,2396
omnetpp_base.x64_O3_icc.newgt,103,2395,1,2396
