name,FP,TP,FN,Total
astar_base.x32_O0_icc.newgt,1,225,0,225
astar_base.x32_O1_icc.newgt,1,207,0,207
astar_base.x32_O2_icc.newgt,68,146,0,146
astar_base.x32_O3_icc.newgt,68,146,0,146
astar_base.x64_O0_icc.newgt,14,197,14,211
astar_base.x64_O1_icc.newgt,15,130,18,148
astar_base.x64_O2_icc.newgt,10,128,25,153
astar_base.x64_O3_icc.newgt,10,128,25,153
blender_r_base.icc_x64_O0-m64.newgt,67,50728,47,50775
blender_r_base.icc_x64_O1-m64.newgt,80,21295,19870,41165
blender_r_base.icc_x64_O2-m64.newgt,130,18752,18989,37741
blender_r_base.icc_x64_O3-m64.newgt,132,18826,18918,37744
blender_r_base.icc_x86_O0-m32.newgt,67,30784,20047,50831
blender_r_base.icc_x86_O1-m32.newgt,1,19541,25528,45069
blender_r_base.icc_x86_O2-m32.newgt,1347,13407,24743,38150
blender_r_base.icc_x86_O3-m32.newgt,1349,13411,24742,38153
bwaves_base.x32_O0_icc.newgt,71,474,0,474
bwaves_base.x32_O1_icc.newgt,71,457,0,457
bwaves_base.x32_O2_icc.newgt,71,474,0,474
bwaves_base.x32_O3_icc.newgt,71,474,0,474
bwaves_base.x64_O0_icc.newgt,278,393,36,429
bwaves_base.x64_O1_icc.newgt,278,392,37,429
bwaves_base.x64_O2_icc.newgt,284,404,41,445
bwaves_base.x64_O3_icc.newgt,284,404,41,445
bwaves_r_base.icc_x64_O0-m64.newgt,284,384,38,422
bwaves_r_base.icc_x64_O1-m64.newgt,284,384,38,422
bwaves_r_base.icc_x64_O2-m64.newgt,285,387,38,425
bwaves_r_base.icc_x64_O3-m64.newgt,285,387,38,425
bwaves_r_base.icc_x86_O0-m32.newgt,1350,258,210,468
bwaves_r_base.icc_x86_O1-m32.newgt,1350,248,203,451
bwaves_r_base.icc_x86_O2-m32.newgt,1350,251,203,454
bwaves_r_base.icc_x86_O3-m32.newgt,1350,251,203,454
bzip2_base.x32_O0_icc.newgt,3,109,0,109
bzip2_base.x32_O1_icc.newgt,1,126,0,126
bzip2_base.x32_O2_icc.newgt,68,115,0,115
bzip2_base.x32_O3_icc.newgt,68,115,0,115
bzip2_base.x64_O0_icc.newgt,0,107,0,107
bzip2_base.x64_O1_icc.newgt,1,88,15,103
bzip2_base.x64_O2_icc.newgt,4,90,20,110
bzip2_base.x64_O3_icc.newgt,4,89,21,110
cactusADM_base.x32_O0_icc.newgt,73,1960,0,1960
cactusADM_base.x32_O1_icc.newgt,71,2147,0,2147
cactusADM_base.x32_O2_icc.newgt,71,1807,0,1807
cactusADM_base.x32_O3_icc.newgt,71,1807,0,1807
cactusADM_base.x64_O0_icc.newgt,316,1848,51,1899
cactusADM_base.x64_O1_icc.newgt,319,1398,428,1826
cactusADM_base.x64_O2_icc.newgt,339,1386,441,1827
cactusADM_base.x64_O3_icc.newgt,340,1387,440,1827
cactusBSSN_r_base.icc_x64_O0-m64.newgt,78,3678,83,3761
cactusBSSN_r_base.icc_x64_O1-m64.newgt,78,2468,711,3179
cactusBSSN_r_base.icc_x64_O2-m64.newgt,131,2388,742,3130
cactusBSSN_r_base.icc_x64_O3-m64.newgt,131,2388,742,3130
cactusBSSN_r_base.icc_x86_O0-m32.newgt,54,2847,984,3831
cactusBSSN_r_base.icc_x86_O1-m32.newgt,1,2088,1564,3652
cactusBSSN_r_base.icc_x86_O2-m32.newgt,1347,1641,1501,3142
cactusBSSN_r_base.icc_x86_O3-m32.newgt,1347,1649,1493,3142
calculix_base.x32_O0_icc.newgt,73,2011,0,2011
calculix_base.x32_O1_icc.newgt,71,2179,0,2179
calculix_base.x32_O2_icc.newgt,71,1894,0,1894
calculix_base.x32_O3_icc.newgt,71,1894,0,1894
